0 939,891,935,120
1 699,26,938,634
2 109,222,92,457
3 239,840,312,932
4 485,547,111,673
5 434,348,101,938
6 771,654,43,344
7 326,766,650,7
8 656,229,673,574
9 54,938,26,141
10 480,840,666,474
11 572,192,569,63
12 646,258,589,856
13 625,479,899,738
14 411,746,638,22
15 564,507,759,674
16 77,538,738,508
17 537,474,59,271
18 14,913,327,297
19 696,775,574,171
20 625,479,899,738
21 640,543,305,327
22 100,863,489,587
23 736,464,116,782
24 494,703,759,265
25 690,476,336,125
26 697,624,104,26
27 843,650,7,313
28 175,538,632,618
29 929,350,890,694
30 505,850,538,488
31 865,357,101,938
32 513,386,852,359
33 478,216,453,632
34 330,716,313,194
35 522,686,272,929
36 482,485,547,146
37 767,312,932,840
38 718,935,891,438
39 314,222,682,551
40 546,255,814,367
41 447,297,178,606
42 520,258,126,856
43 742,432,26,66
44 789,277,432,26
45 679,654,297,178
46 88,147,787,284
47 731,398,716,313
48 808,544,853,772
49 920,915,784,284
50 37,217,619,671
51 747,234,474,716
52 59,537,474,271
53 768,432,26,938
54 84,938,168,141
55 891,935,120,438
56 351,589,853,755
57 308,474,716,151
58 715,757,487,301
59 121,910,120,935
60 66,432,26,714
61 486,936,624,104
62 705,484,746,757
63 536,290,815,738
64 556,836,781,710
65 751,654,43,178
66 405,846,311,194
67 703,938,168,141
68 801,812,853,510
69 369,813,502,489
70 888,376,419,874
71 835,693,716,313
72 73,737,748,867
73 82,881,533,271
74 378,864,457,92
75 898,408,820,384
76 471,620,541,642
77 164,396,190,938
78 473,460,733,486
79 467,730,432,26
80 913,538,632,867
81 341,511,783,33
82 40,574,149,673
83 322,710,686,929
84 836,781,710,177
85 395,549,231,714
86 700,124,41,96
87 776,843,650,7
88 310,759,703,800
89 636,93,703,168
90 275,807,70,290
91 283,579,476,336
92 582,26,938,141
93 35,853,451,587
94 20,882,897,200
95 378,864,457,92
96 385,308,406,59
97 757,715,487,301
98 5,56,933,109
99 712,642,541,472
100 334,758,293,429
101 776,843,650,7
102 475,171,111,673
103 583,913,14,6
104 28,604,814,368
105 903,666,474,271
106 112,616,856,356
107 200,472,394,109
108 314,222,682,551
109 831,353,784,544
110 884,565,585,855
111 656,229,673,574
112 40,574,149,673
113 520,258,126,856
114 683,112,616,856
115 367,368,604,814
116 836,781,710,177
117 475,171,111,673
118 850,538,632,230
119 134,205,856,356
120 662,79,735,266
121 796,311,194,313
122 220,282,107,529
123 893,938,26,403
124 522,686,272,929
125 257,884,861,909
126 288,488,263,91
127 472,394,497,109
128 630,168,938,141
129 242,517,895,759
130 332,256,374,92
131 227,634,26,569
132 340,786,897,882
133 777,233,488,263
134 674,879,800,231
135 620,471,541,642
136 381,189,840,312
137 804,749,650,313
138 733,460,486,634
139 673,111,784,171
140 594,131,590,136
141 124,778,738,521
142 350,890,843,650
143 634,26,938,141
144 669,748,867,913
145 174,345,593,378
146 319,241,920,284
147 327,305,514,64
148 63,569,26,634
149 202,212,781,902
150 923,294,54,938
151 796,311,194,313
152 787,724,863,587
153 314,222,682,551
154 74,827,353,920
155 216,453,632,864
156 632,618,864,301
157 669,748,867,913
158 932,312,840,716
159 692,579,283,476
160 68,120,66,935
161 340,786,897,882
162 775,574,284,784
163 600,826,197,8
164 296,6,474,271
165 219,163,827,616
166 86,755,740,791
167 655,201,327,537
168 760,904,477,274
169 216,453,632,864
170 878,18,151,474
171 647,484,705,56
172 729,258,589,856
173 306,2,460,733
174 640,543,305,327
175 871,197,600,826
