0 883,299,18,354,151,474
1 788,328,627,551,896,293
2 47,448,171,574,284,784
3 48,370,350,890,929,350
4 190,423,164,396,717,26
5 922,472,394,109,301,222
6 550,779,689,714,879,674
7 675,866,111,673,574,273
8 363,276,301,682,551,435
9 499,840,312,716,474,151
10 884,565,585,855,861,828
11 818,229,656,112,616,827
12 936,486,624,104,26,634
13 462,812,510,853,170,589
14 629,529,853,755,446,173
15 929,350,890,694,326,650
16 524,474,537,59,308,406
17 547,111,673,149,574,784
18 752,863,724,489,587,451
19 663,99,624,104,294,26
20 232,913,6,474,271,18
21 264,218,315,361,327,823
22 90,537,474,271,18,59
23 261,824,510,170,155,853
24 538,786,738,64,484,521
25 579,283,476,336,125,542
26 355,408,898,820,384,898
27 228,827,404,616,112,856
28 636,93,703,168,938,403
29 293,896,94,429,916,682
30 408,898,820,384,105,898
31 493,347,521,606,249,178
32 192,572,569,63,486,26
33 797,482,791,400,755,404
34 151,716,474,271,18,59
35 528,298,313,716,194,311
36 876,123,316,6,10,474
37 222,109,92,457,301,864
38 123,316,233,6,18,474
39 292,908,96,567,840,312
40 169,350,890,694,60,716
41 818,229,656,112,616,827
42 293,896,94,429,916,682
43 749,804,650,313,716,194
44 931,701,2,413,834,104
45 643,301,804,650,313,194
46 808,544,853,772,784,112
47 234,474,716,151,308,59
48 477,904,914,89,904,361
49 491,420,558,136,937,131
50 534,634,26,938,141,552
51 14,913,327,297,249,606
52 674,879,800,231,714,879
53 139,743,446,673,926,47
54 452,474,716,308,18,151
55 21,802,367,814,366,604
56 2,701,931,413,834,104
57 549,403,714,168,938,552
58 606,347,521,301,109,435
59 652,431,400,404,112,755
60 360,296,6,474,271,18
61 4,355,408,898,820,408
62 79,662,735,266,413,937
63 748,867,488,263,538,738
64 658,402,490,703,277,403
65 870,271,474,59,537,308
66 645,561,339,308,406,59
67 352,421,96,538,913,748
68 799,811,400,515,258,589
69 277,789,432,26,703,403
70 114,748,867,488,538,738
71 851,294,624,104,26,717
72 322,710,686,929,567,96
73 8,197,600,826,600,826
74 437,18,151,716,474,308
75 96,41,77,538,913,738
76 37,217,619,671,600,826
77 165,700,913,538,867,748
78 23,407,650,843,738,815
79 901,290,881,892,313,650
80 804,749,650,313,716,194
81 460,733,486,634,569,26
82 813,502,489,587,589,724
83 721,451,173,587,489,853
84 306,2,460,733,486,735
85 550,779,689,714,879,674
86 257,884,861,909,855,585
87 853,755,446,173,451,587
88 152,593,43,378,345,416
89 749,804,650,313,716,194
90 918,18,151,716,474,271
91 65,271,474,716,151,18
92 919,770,624,486,634,26
93 297,447,178,606,347,249
94 418,616,112,784,353,827
95 429,94,916,293,896,682
96 599,159,938,552,141,26
97 258,589,856,356,143,112
98 708,938,168,141,26,552
99 359,386,513,852,549,714
100 64,933,301,109,457,222
101 18,151,716,474,271,59
102 580,714,168,938,141,552
103 477,904,914,89,904,361
104 110,197,826,600,619,217
105 253,850,538,488,64,632
106 168,938,141,26,552,432
107 333,263,488,454,716,313
108 47,448,171,574,284,784
109 322,710,686,929,567,96
110 780,298,694,716,313,194
111 789,277,432,26,703,403
112 306,2,460,733,486,735
113 838,654,43,344,178,249
114 133,353,784,616,112,856
115 72,693,627,328,788,311
116 442,709,586,933,394,109
117 234,474,716,151,308,59
118 151,716,474,271,18,59
119 5,56,933,109,222,301
120 518,634,938,26,141,168
121 464,853,446,755,791,173
122 26,432,938,141,168,714
123 402,703,403,938,26,552
124 154,875,214,177,913,327
125 387,738,64,521,757,301
126 517,895,759,703,265,714
127 851,294,624,104,26,717
128 26,432,938,141,168,714
129 732,740,755,791,173,446
130 486,936,624,104,26,634
131 427,173,451,587,489,853
132 15,26,938,141,552,168
133 368,367,604,814,366,604
134 116,683,752,112,284,784
135 774,933,109,301,56,222
136 327,305,514,64,823,738
137 929,350,890,694,326,650
138 280,378,864,457,92,222
139 71,382,123,6,474,271
140 10,474,308,716,234,151
141 62,457,378,864,92,301
142 823,301,194,864,457,378
143 859,869,45,525,938,552
144 406,59,308,474,716,151
145 703,938,168,141,26,552
146 864,378,457,92,222,109
147 372,814,604,366,368,367
148 425,197,600,826,619,217
149 448,574,171,284,784,775
150 340,786,897,882,230,290
151 891,935,120,438,66,714
152 504,378,457,864,92,222
153 640,543,305,327,514,738
154 500,457,378,92,864,222
155 781,177,710,629,488,538
156 747,234,474,716,151,18
157 883,299,18,354,151,474
158 751,654,43,178,484,487
159 456,59,406,561,308,474
160 358,855,585,565,884,585
161 76,177,214,327,249,913
162 903,666,474,271,308,59
163 60,716,313,650,7,326
164 335,317,362,772,816,853
165 167,716,313,194,650,326
166 537,474,59,271,308,18
167 778,124,738,521,484,757
168 909,861,884,585,565,855
169 333,263,488,454,716,313
170 818,229,656,112,616,827
171 833,643,308,293,429,561
172 634,26,938,141,168,552
173 804,749,650,313,716,194
174 35,853,451,587,489,724
175 464,853,446,755,791,173
176 201,561,406,308,59,474
177 637,634,938,26,141,552
178 360,296,6,474,271,18
179 526,324,624,104,294,26
180 104,624,26,432,938,294
181 104,624,26,432,938,294
182 864,378,457,92,222,109
183 552,141,938,26,168,432
184 905,190,74,717,104,26
185 266,735,413,569,104,624
186 686,272,929,96,350,890
187 533,457,378,864,92,222
188 346,682,551,301,276,435
189 355,408,898,820,384,898
190 379,326,313,650,716,194
191 762,651,446,173,47,451
192 475,171,111,673,784,284
193 42,577,864,378,457,92
194 66,432,26,714,938,168
195 348,168,938,714,403,141
196 708,938,168,141,26,552
197 4,355,408,898,820,408
198 779,689,714,879,674,800
199 686,272,929,96,350,890
200 485,547,111,673,149,574
201 638,22,746,158,600,826
202 424,681,281,515,589,258
203 853,755,446,173,451,587
204 549,403,714,168,938,552
205 729,258,589,856,356,143
206 507,509,589,428,587,489
207 859,869,45,525,938,552
