0 624,104,26
1 37,217,619
2 413,735,104
3 383,6,474
4 458,666,474
5 393,682,551
6 396,164,190
7 118,367,368
8 526,324,624
9 759,265,703
10 224,721,451
11 720,273,111
12 156,686,522
13 833,643,308
14 258,589,856
15 140,824,155
16 35,853,451
17 942,263,488
18 185,678,735
19 763,18,151
20 493,347,521
21 434,348,101
22 905,190,74
23 424,681,281
24 680,730,432
25 82,881,533
26 158,638,22
27 23,407,650
28 662,79,735
29 451,489,587
30 790,727,497
31 9,651,173
32 641,567,6
33 405,846,311
34 736,464,116
35 870,271,474
36 941,689,66
37 650,843,7
38 773,806,738
39 850,538,632
40 266,735,413
41 869,45,879
42 586,709,442
43 637,634,938
44 834,104,26
45 575,700,745
46 262,43,378
47 793,501,26
48 235,535,474
49 617,814,366
50 596,832,510
51 687,362,317
52 630,168,938
53 100,863,489
54 602,644,800
55 311,846,194
56 316,233,18
57 415,166,205
58 878,18,151
59 326,766,650
60 506,846,311
61 100,863,489
62 620,471,541
63 306,2,460
64 457,92,864
65 793,501,26
66 471,620,541
67 339,561,406
68 873,810,404
69 386,55,513
70 737,73,748
71 34,681,515
72 658,402,490
73 616,112,856
74 23,407,650
75 436,618,128
76 697,624,104
77 773,806,738
78 474,271,716
79 787,724,863
80 347,521,301
81 94,429,916
82 54,938,26
83 205,809,356
84 379,326,313
85 859,869,45
86 477,904,914
87 344,654,43
88 515,258,589
89 541,712,642
90 644,602,800
91 34,681,515
92 477,904,914
93 783,511,33
94 728,722,26
95 303,276,92
96 225,454,716
97 6,474,271
98 155,791,446
99 274,168,938
100 817,190,396
101 171,574,284
102 854,592,249
103 96,41,77
104 109,222,92
105 121,910,120
106 69,32,793
107 186,332,256
108 880,682,222
109 407,650,843
110 779,689,714
111 878,18,151
112 798,642,393
113 582,26,938
114 941,689,66
115 655,201,327
116 9,651,173
117 409,321,18
118 274,168,938
119 935,438,120
120 390,735,791
121 560,192,403
122 696,775,574
123 220,282,107
124 799,811,400
125 303,276,92
126 637,634,938
127 10,474,308
128 795,301,435
129 339,561,406
130 632,618,864
131 632,618,864
132 761,703,938
133 157,637,634
134 307,70,738
135 533,457,378
136 161,232,6
137 241,920,915
138 272,686,929
139 777,233,488
140 567,312,932
141 75,357,57
142 758,293,896
143 923,294,54
144 907,274,168
145 226,867,748
146 905,190,74
147 360,296,6
148 764,554,378
149 248,177,867
150 287,32,432
151 707,354,18
152 907,274,168
153 323,730,432
154 497,394,472
155 648,804,881
156 380,85,18
157 787,724,863
158 635,853,451
159 273,111,673
160 604,814,366
161 933,109,301
162 288,488,263
163 890,350,843
164 5,56,933
165 718,935,891
166 90,537,474
167 420,558,136
168 252,390,735
169 280,378,864
170 431,446,853
171 309,173,451
172 131,590,733
173 380,85,18
174 876,123,316
175 305,327,514
176 191,353,784
177 190,423,164
178 813,502,489
179 72,693,627
180 332,256,374
